iter	Passed	Remaining
0	143	14245
1	144	7072
2	144	4680
3	145	3483
4	145	2765
5	145	2285
6	146	1943
7	146	1686
8	147	1486
9	147	1326
10	147	1195
11	148	1086
12	148	993
13	148	914
14	149	845
15	149	785
16	149	732
17	150	684
18	150	642
19	151	604
20	151	569
21	151	538
22	152	509
23	152	483
24	153	460
25	153	438
26	154	417
27	154	398
28	155	380
29	155	363
30	156	347
31	156	332
32	156	318
33	157	305
34	157	292
35	157	280
36	158	269
37	158	259
38	159	249
39	159	239
40	160	230
41	160	221
42	160	213
43	161	205
44	161	197
45	162	190
46	162	183
47	163	176
48	163	170
49	164	164
50	164	158
51	164	152
52	165	146
53	165	140
54	165	135
55	166	130
56	166	125
57	166	120
58	167	116
59	167	111
60	167	107
61	168	103
62	168	98
63	168	94
64	169	91
65	169	87
66	169	83
67	170	80
68	170	76
69	170	73
70	170	69
71	170	66
72	170	63
73	171	60
74	171	57
75	171	54
76	171	51
77	171	48
78	171	45
79	172	43
80	172	40
81	172	37
82	172	35
83	172	32
84	172	30
85	172	28
86	173	25
87	173	23
88	173	21
89	173	19
90	173	17
91	173	15
92	174	13
93	174	11
94	174	9
95	174	7
96	174	5
97	174	3
98	175	1
99	175	0
