iter	MultiClass
0	1.09221586
1	1.086328807
2	1.08090501
3	1.075902659
4	1.071283857
5	1.067014256
6	1.063062729
7	1.059401064
8	1.056003689
9	1.052847423
10	1.049911251
11	1.047176113
12	1.044624725
13	1.042241402
14	1.040011912
15	1.037923338
16	1.035963947
17	1.034123084
18	1.032391065
19	1.030759089
20	1.029219152
21	1.027763971
22	1.026386919
23	1.025081959
24	1.023843593
25	1.022666808
26	1.021547035
27	1.0204801
28	1.019462195
29	1.01848984
30	1.017559854
31	1.016669326
32	1.015815592
33	1.014996209
34	1.014208941
35	1.013451732
36	1.012722697
37	1.012020103
38	1.011342354
39	1.010687983
40	1.010055636
41	1.009444065
42	1.008852117
43	1.008278728
44	1.00772291
45	1.007183752
46	1.006660406
47	1.006152086
48	1.005658063
49	1.005177656
50	1.004710233
51	1.004255203
52	1.003812016
53	1.003380156
54	1.002959142
55	1.002548521
56	1.002147872
57	1.001756795
58	1.001374916
59	1.001001885
60	1.000637368
61	1.000281053
62	0.999932645
63	0.9995918632
64	0.9992584433
65	0.9989321345
66	0.9986126987
67	0.99829991
68	0.9979935534
69	0.9976934244
70	0.9973993283
71	0.9971110792
72	0.9968284999
73	0.9965514211
74	0.9962796809
75	0.9960131243
76	0.995751603
77	0.9954949748
78	0.9952431034
79	0.9949958579
80	0.9947531125
81	0.9945147463
82	0.9942806432
83	0.9940506913
84	0.9938247829
85	0.9936028141
86	0.9933846848
87	0.9931702986
88	0.9929595622
89	0.9927523856
90	0.992548682
91	0.9923483673
92	0.9921513602
93	0.9919575821
94	0.9917669571
95	0.9915794113
96	0.9913948735
97	0.9912132746
98	0.9910345476
99	0.9908586275
