iter	Passed	Remaining
0	136	13473
1	136	6687
2	136	4422
3	137	3289
4	137	2609
5	137	2156
6	138	1834
7	138	1594
8	138	1405
9	139	1253
10	139	1128
11	139	1025
12	140	937
13	140	863
14	142	807
15	142	750
16	143	698
17	143	653
18	143	612
19	143	575
20	144	542
21	144	512
22	144	484
23	144	458
24	145	435
25	145	414
26	146	394
27	146	376
28	146	358
29	146	342
30	147	327
31	147	313
32	147	300
33	148	287
34	148	275
35	148	264
36	149	254
37	149	244
38	149	234
39	150	225
40	150	216
41	150	208
42	151	200
43	151	192
44	151	185
45	152	178
46	152	172
47	153	165
48	153	159
49	154	154
50	154	148
51	154	143
52	155	137
53	155	132
54	155	127
55	156	122
56	156	117
57	156	113
58	156	108
59	157	104
60	157	100
61	157	96
62	158	92
63	158	89
64	158	85
65	158	81
66	159	78
67	160	75
68	160	72
69	160	68
70	160	65
71	161	62
72	161	59
73	161	56
74	162	54
75	163	51
76	163	48
77	163	46
78	164	43
79	165	41
80	165	38
81	165	36
82	165	33
83	166	31
84	166	29
85	166	27
86	167	24
87	167	22
88	167	20
89	168	18
90	168	16
91	168	14
92	169	12
93	169	10
94	169	8
95	170	7
96	170	5
97	170	3
98	171	1
99	171	0
